Date,CHDVD.SW,ZURN.SW,ROP.SW,NOVN.SW,NESN.SW,HOLN.SW,SREN.SW,SLHN.SW,SIKA.SW,HBAN.SW,GIVN.SW
2023-05-11,128.81541442871094,362.8005981445313,254.7209930419922,79.23612976074219,103.46019744873048,52.71408462524414,74.68338012695312,468.7019653320313,237.01345825195312,111.02619934082033,2991.62109375
2023-05-12,128.93495178222656,363.1406555175781,256.7951965332031,79.1933364868164,103.28054809570312,53.26204681396485,75.13418579101562,465.2120361328125,237.20245361328125,111.90946197509766,2975.643310546875
2023-05-15,129.68936157226562,365.77581787109375,256.3442687988281,79.15909576416016,103.17276000976562,53.35337448120117,74.95053100585938,470.4469604492188,237.01345825195312,112.7043914794922,2974.703369140625
2023-05-16,129.00352478027344,364.9257507324219,254.585693359375,79.16766357421875,102.81346130371094,53.481231689453125,74.53311157226562,463.6415710449219,237.7694854736328,112.26276397705078,2938.04833984375
2023-05-17,127.73475646972656,355.7452087402344,255.57769775390625,77.93521118164062,101.75353240966795,53.4447021484375,74.63329315185547,459.6280517578125,235.69039916992188,112.88105010986328,2828.0830078125
2023-05-19,129.00352478027344,363.90570068359375,259.9515991210937,77.46448516845703,102.23857879638672,54.047462463378906,76.57008361816406,467.1315002441406,243.0616455078125,112.96937561035156,2868.49755859375
2023-05-22,128.93495178222656,364.3307189941406,258.283203125,78.08926391601562,101.4660873413086,53.66388320922852,76.10258483886719,467.6549682617188,242.7781219482422,113.49933624267578,2839.361572265625
2023-05-23,128.66061401367188,367.5608825683594,258.4184875488281,77.72125244140625,100.98103332519533,52.47663116455078,76.90402221679688,468.5274658203125,236.4464263916016,113.67598724365234,2838.421630859375
2023-05-24,127.63189697265624,359.6554260253906,260.44757080078125,77.532958984375,100.80138397216795,51.58162689208984,75.35124206542969,458.5810546875,233.70584106445312,110.58456420898438,2834.662353515625
2023-05-25,126.6717300415039,358.2103576660156,259.2752380371094,75.78697967529297,99.97500610351562,51.417236328125,75.23436737060547,458.4065856933594,233.4223175048828,111.11453247070312,2829.962890625
2023-05-26,127.9748077392578,361.7805786132813,262.1611022949219,76.09510040283203,100.6576690673828,51.59988784790039,76.25285339355469,464.3395385742188,237.6749725341797,112.26276397705078,2867.557861328125
2023-05-30,126.53453826904295,363.2256164550781,259.6359558105469,74.4775161743164,97.31617736816406,51.14325714111328,76.77043914794922,463.8160095214844,235.59591674804688,113.2343521118164,2841.241455078125
2023-05-31,125.86590576171876,362.1205749511719,259.9065246582031,74.59732818603516,96.92095947265624,51.271114349365234,76.15267181396484,458.9300537109375,234.7453765869141,114.20594024658205,2815.864501953125
2023-06-01,127.04894256591795,364.6707458496094,261.3043518066406,75.36761474609375,97.71141052246094,51.417236328125,77.45499420166016,461.8965759277344,235.12339782714844,109.87796020507812,2844.060791015625
2023-06-02,128.5234832763672,367.4758911132813,264.0549011230469,76.4887924194336,98.4479751586914,52.27571487426758,77.80561828613281,469.3999633789063,241.73861694335935,111.82113647460938,2860.038818359375
2023-06-05,128.30055236816406,366.96588134765625,262.8374328613281,77.35321807861328,97.71141052246094,52.49489974975586,77.03759002685547,464.8630065917969,241.45509338378903,109.96627807617188,2816.804443359375
2023-06-06,128.72923278808594,369.5159912109375,263.4686889648437,77.4730453491211,98.05274963378906,52.4035758972168,77.17115783691406,469.9234008789063,242.8726348876953,110.4962387084961,2850.639892578125
2023-06-07,127.59761810302734,365.6058044433594,259.5908508300781,76.60005950927734,96.84909057617188,52.56795883178711,76.18606567382812,466.0845031738281,241.45509338378903,109.96627807617188,2786.728515625
2023-06-08,127.3232650756836,363.2256164550781,256.07373046875,77.34466552734375,96.1125259399414,53.40816879272461,74.88374328613281,464.6885070800781,239.5650177001953,108.99468994140624,2773.570068359375
2023-06-09,126.92889404296876,362.8005981445313,254.4053649902344,77.34466552734375,96.25625610351562,53.02459716796875,73.58141326904297,466.0845031738281,239.5650177001953,109.61297607421876,2688.041748046875
2023-06-12,127.35753631591795,362.4606018066406,252.55661010742188,77.7469253540039,96.25625610351562,53.7369499206543,73.78176879882812,467.8294677734375,239.2815093994141,109.61297607421876,2715.298095703125
2023-06-13,127.59761810302734,361.5255432128906,252.78207397460935,77.01943969726562,95.7891616821289,54.13878631591797,73.84855651855469,467.3059387207031,243.5341644287109,110.4962387084961,2730.336181640625
2023-06-14,127.2546615600586,362.4606018066406,247.5965576171875,76.73699188232422,95.68136596679688,54.66848373413086,73.84855651855469,471.6684265136719,245.42420959472656,110.9378662109375,2710.5986328125
2023-06-15,127.73475646972656,363.8207092285156,248.45327758789065,77.34466552734375,96.9389190673828,54.248382568359375,73.68159484863281,468.3529357910156,243.91217041015625,110.4962387084961,2704.01953125
2023-06-16,128.31768798828125,364.4157409667969,252.37625122070312,77.67845153808594,97.0646743774414,54.30317687988281,73.731689453125,469.2254638671875,244.2901763916016,110.4079132080078,2755.712646484375
2023-06-19,127.44335174560548,364.0757141113281,249.03948974609372,77.75547790527344,97.01078033447266,53.974395751953125,73.39774322509766,468.5274658203125,237.4859619140625,110.05460357666016,2720.937255859375
2023-06-20,126.79175567626952,361.7805786132813,248.54347229003903,77.59285736083984,96.43589782714844,53.95613479614258,73.16400146484375,468.7019653320313,228.6971740722656,110.76122283935548,2718.11767578125
2023-06-21,126.3974380493164,358.38037109375,246.96530151367188,77.4730453491211,97.10060119628906,54.66848373413086,72.830078125,465.3865356445313,224.2555389404297,108.99468994140624,2709.65869140625
2023-06-22,126.19164276123048,358.2953796386719,247.8670959472656,77.07933807373047,97.1724624633789,54.431034088134766,73.23078918457031,461.373046875,224.6335601806641,109.25967407226562,2740.674560546875
2023-06-23,126.80886840820312,361.10052490234375,249.3551177978516,77.61853790283203,97.71141052246094,54.39450454711914,73.88195037841797,462.2455139160156,227.27964782714844,109.3479995727539,2780.1494140625
2023-06-26,125.98595428466795,360.760498046875,246.1987152099609,76.10365295410156,97.01078033447266,54.284912109375,73.49793243408203,462.0710144042969,229.9257354736328,108.7297134399414,2787.66845703125
2023-06-27,126.07161712646484,362.03558349609375,244.07943725585935,75.93248748779297,96.92095947265624,54.3397102355957,74.64998626708984,468.7019653320313,232.3827972412109,108.02310180664062,2757.592529296875
2023-06-28,126.26021575927734,359.1454162597656,247.7769317626953,75.7698745727539,96.09457397460938,54.66848373413086,74.36615753173828,448.1111755371094,235.2178955078125,106.16824340820312,2776.389892578125
2023-06-29,125.9173355102539,359.0604248046875,246.3791046142578,76.28338623046875,96.0406723022461,54.61368942260742,74.90044403076172,448.9836730957031,233.4223175048828,105.28498077392578,2733.15576171875
2023-06-30,126.82603454589844,361.185546875,246.649658203125,77.02798461914062,96.65148162841795,54.97900390625,75.16758728027344,456.3125915527344,241.64407348632807,106.87486267089844,2786.728515625
